
 Epoch: 0    Length: 1170    Reward: -21.0    L50 Reward: nan
 Epoch: 100    Length: 1846    Reward: -17.0    L50 Reward: -19.3
 Epoch: 200    Length: 5054    Reward: -12.0    L50 Reward: -17.58
 Epoch: 300    Length: 4970    Reward: -12.0    L50 Reward: -16.36
 Epoch: 400    Length: 4242    Reward: -18.0    L50 Reward: -15.26
 Epoch: 500    Length: 4622    Reward: -13.0    L50 Reward: -13.94
 Epoch: 600    Length: 6455    Reward: -11.0    L50 Reward: -13.54
 Epoch: 700    Length: 4765    Reward: -17.0    L50 Reward: -14.8
 Epoch: 800    Length: 6447    Reward: -10.0    L50 Reward: -12.86
 Epoch: 900    Length: 5501    Reward: -13.0    L50 Reward: -13.62
 Epoch: 1000    Length: 5138    Reward: -14.0    L50 Reward: -13.84
 Epoch: 1100    Length: 4538    Reward: -15.0    L50 Reward: -13.28
 Epoch: 1200    Length: 5083    Reward: -12.0    L50 Reward: -12.96
 Epoch: 1300    Length: 6352    Reward: -14.0    L50 Reward: -13.12
 Epoch: 1400    Length: 4522    Reward: -15.0    L50 Reward: -12.68
 Epoch: 1500    Length: 5253    Reward: -17.0    L50 Reward: -12.32
 Epoch: 1600    Length: 4766    Reward: -19.0    L50 Reward: -13.68
 Epoch: 1700    Length: 7608    Reward: -10.0    L50 Reward: -12.24
 Epoch: 1800    Length: 6516    Reward: -9.0    L50 Reward: -13.16
 Epoch: 1900    Length: 6997    Reward: -12.0    L50 Reward: -12.78
 Epoch: 2000    Length: 5426    Reward: -13.0    L50 Reward: -12.76
 Epoch: 2100    Length: 6714    Reward: -15.0    L50 Reward: -12.3
 Epoch: 2200    Length: 5689    Reward: -13.0    L50 Reward: -13.12
 Epoch: 2300    Length: 6827    Reward: -15.0    L50 Reward: -12.6
 Epoch: 2400    Length: 5750    Reward: -11.0    L50 Reward: -11.9
 Epoch: 2500    Length: 5554    Reward: -17.0    L50 Reward: -11.92
 Epoch: 2600    Length: 8246    Reward: -6.0    L50 Reward: -11.98
 Epoch: 2700    Length: 5985    Reward: -15.0    L50 Reward: -12.22
 Epoch: 2800    Length: 6184    Reward: -10.0    L50 Reward: -11.7
 Epoch: 2900    Length: 7247    Reward: -9.0    L50 Reward: -11.78
 Epoch: 3000    Length: 6056    Reward: -12.0    L50 Reward: -11.08
 Epoch: 3100    Length: 5805    Reward: -14.0    L50 Reward: -11.86
 Epoch: 3200    Length: 6763    Reward: -12.0    L50 Reward: -12.8
 Epoch: 3300    Length: 6561    Reward: -13.0    L50 Reward: -12.6
 Epoch: 3400    Length: 6263    Reward: -12.0    L50 Reward: -12.3
 Epoch: 3500    Length: 6000    Reward: -14.0    L50 Reward: -12.62
 Epoch: 3600    Length: 6729    Reward: -13.0    L50 Reward: -11.6
 Epoch: 3700    Length: 6831    Reward: -13.0    L50 Reward: -11.5
 Epoch: 3800    Length: 7940    Reward: -3.0    L50 Reward: -11.28
 Epoch: 3900    Length: 7222    Reward: -11.0    L50 Reward: -11.44
 Epoch: 4000    Length: 6669    Reward: -15.0    L50 Reward: -11.28
 Epoch: 4100    Length: 8049    Reward: -11.0    L50 Reward: -11.54
 Epoch: 4200    Length: 9601    Reward: -6.0    L50 Reward: -11.1
 Epoch: 4300    Length: 6710    Reward: -17.0    L50 Reward: -11.24
 Epoch: 4400    Length: 8141    Reward: -12.0    L50 Reward: -10.98
 Epoch: 4500    Length: 8044    Reward: -7.0    L50 Reward: -11.48
 Epoch: 4600    Length: 6925    Reward: -8.0    L50 Reward: -11.98
 Epoch: 4700    Length: 9999    Reward: -5.0    L50 Reward: -9.56
 Epoch: 4800    Length: 7597    Reward: -4.0    L50 Reward: -9.28
 Epoch: 4900    Length: 6396    Reward: -11.0    L50 Reward: -9.98
 Epoch: 5000    Length: 8289    Reward: -9.0    L50 Reward: -9.12
